Source,ZEB1_H,ZEB1,U_Kinetochores,Twist,TGFb_secr,SNAI2,SNAI1,SMAC,Replication,pRB,Plk1_H,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,MCL_1,Mad2,LEF1,IAPs,f4N_DNA,Ect2,Ecadherin_mRNA,E2F1,DR4_5,Cytokinesis,Cyto_C,CyclinE,CyclinD1,CHK1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ATR,A_Kinetochores
MCL_1,0.04028810165431544,0.10577447255742031,0.14733972551231436,0.5696212121212121,0.025582183168390067,0.309672156637265,0.049091111854577894,-0.8998093422306959,0.11246235162819977,0.4038398818975647,0,0.3967152376965742,0.3803715048836239,-0.1464337330607637,-0.3620347952079833,-0.049091111854577894,-0.03353225312464825,0.575077616612098,-0.007407407407407407,0.03533801970736968,0.8,0.15184247872801554,0.12135739800714421,-0.3719771793147779,-0.3679238186820925,0,0.12592592592592594,-0.8998093422306959,0.15292375861522495,-0.3648142488505912,0.14785714285714285,-0.8,-0.6,-0.7,-0.5933878675250547,-0.997893440983154,-0.997893440983154,-0.9981254542177572,0.9967202393186394,0.9976122356528261,-0.9987785662036011,-0.9987785662036011,-0.6,0.04588710236179556,0.135102983892263,0.17738296672306825
Mad2,-0.013333333333333332,-0.05964912280701754,-0.1,-0.4,-0.007692307692307693,-0.21710914454277286,-0.014285714285714285,0.7,-0.1231818181818182,-0.28316026724623683,0,-0.27535493827160495,-0.26616438356164385,0.13421985815602838,0.23533834586466168,0.014285714285714285,0.017338331771321464,-0.49622641509433957,0,-0.01111111111111111,-0.6,-0.13333333333333333,-0.1,0.26831683168316833,0.24021739130434785,0,0,0.7,-0.14998954131181833,0.2379591836734694,-0.1,0.6,0.4,0.5,0.5,0.8,0.8,0.9,-0.8,-0.8,0.8,0.8,0.4,-0.014285714285714285,-0.125,-0.1
LEF1,1,0.9,0,0.8,0.8,1,0.9,0,0,0,0,0,0,0.8,0,-0.9,-0.9,0,0,0.9,0,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
IAPs,0.10097025693523103,0.14468656389857643,0.05478752504665503,0.6361328552370094,0.07689939429110551,0.31439055247766484,0.10241664043205241,-0.6732292402745019,-0.06814020024806149,0.5162151487345874,0,0.5036831446641146,0.48193001752615744,-4.192597961774042e-4,-0.4824998797285648,-0.10241664043205241,-0.07459786578040631,0.7309991576012294,-0.01271067106710671,0.08642466070827441,0.5870461660085261,-0.011337135967367129,0.050837984366408816,-0.37176792804416403,-0.490778697766697,0,0.054008859293008936,-0.6732292402745019,-0.06689409892587588,-0.48037697500990506,-0.01509187459412758,-0.9921687643361479,-0.8996399639963997,-0.997962693898077,-0.7792428090744348,-0.7447495789857227,-0.7447495789857227,-0.7455625028571422,0.8362881735030117,0.844532793797226,-0.7551040055264201,-0.7551040055264201,-0.8997222222222222,0.12343164002143622,-0.042591182265132844,0.0673492077563235
f4N_DNA,-0.21275950631376186,-0.12768145753746693,0.062320645469620316,-0.2567049829059528,-0.031588449797479476,-0.3702165677986058,-0.21257221039829735,0.2053206215507664,-0.18384100250053853,-0.4224838848437423,0,-0.4108169750526184,-0.40281912661574537,-0.24664671151432863,0.41057258885118486,0.21257221039829735,-0.150195356867021,-0.13946864879160148,-0.0713973675889071,-0.028744527121751323,-0.20372777843490342,0.028210603928280183,0.023563942372926645,0.2981942888367718,0.4185211407809272,0,0.026215935878248674,0.2053206215507664,0.27255246153933055,0.5157319087697678,-0.1956308366685725,0.25090944332272647,0.2559799415714089,0.2673997673307685,0.08774310617228391,0.18185319448940607,0.18185319448940607,0.16118338870785265,-0.1996424165447656,-0.22759101191360004,0.21589636380316835,0.21589636380316835,0.26726113671274965,-0.32182449198578233,-0.1922913190433406,0.20854312735499367
Ect2,0.18333333333333332,0.07333333333333333,-0.06423750835950522,0.1793103448275862,0.014285714285714285,0.27692307692307694,0.15,-0.21071943975626328,0.1956308366685725,0.35350033852403523,0,0.3479926335174954,0.3510738255033557,0.25555555555555554,-0.29130434782608694,-0.15,0.1590909090909091,0.09598322729901677,0.07058468890089918,0.00909090909090909,0.2179767441860465,-0.13160515463756065,-0.03155109319699013,-0.1826086956521739,-0.2927272727272727,0,0.06649712723929001,-0.21071943975626328,-0.2646495956873315,-0.40684108527131785,0.19840861444635027,-0.24488970776395927,-0.17894736842105263,-0.22911801688521644,-0.05819536910549855,-0.16194787332049637,-0.16194787332049637,-0.13557018736388068,0.16999225627397868,0.2051675728906329,-0.20372777843490342,-0.20372777843490342,-0.18095238095238095,0.2692307692307693,0.19618639222412806,-0.20311067490986848
Ecadherin_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2F1,-0.3242303257273683,-0.2200401137754727,0.2388541139137251,-0.3684114381127599,-0.1176776572842704,-0.4916646724865683,-0.309917994044582,0.7142905147144187,0.6256582473359283,-0.8153536703160912,0,-0.8098151845491831,-0.7891224168641259,-0.5830272117970464,0.9509149259644782,0.309917994044582,-0.1322821286268011,-0.7980185068021654,-0.10619287741231609,-0.10395962197854491,-0.6520934689665341,0.5717502882738663,0.13351402946537824,0.35579111361935195,0.9547655339001144,0,0.12964153832015984,0.7142905147144187,0.8301276634054776,0.9065462831770923,0.531949118770458,0.667184864653096,0.498219584569733,0.5902893013453321,0.25174722565296476,0.754444866508305,0.754444866508305,0.7312563674405009,-0.6974995832659875,-0.7244686820099754,0.7714933810351502,0.7714933810351502,0.49863013698630143,-0.5271760699277673,0.5797889501719332,0.4702245204502818
DR4_5,-0.08737131570153016,-0.12466873568292072,-0.0533814295086437,-0.6097408688164674,-0.06566772732465757,-0.2767233146008869,-0.08590175347116287,0.6863582626510041,0.05820547960924718,-0.45617251538067405,0,-0.4314235460416042,-0.41349315041880674,0.005451851320600093,0.42330858505347874,0.08590175347116287,0.06685424580124763,-0.6727626727200058,0.016174948240165632,-0.07380024823787976,-0.5949965349965349,0.0019013180003183583,-0.04423101500396187,0.3430329476942567,0.43253546748519145,0,-0.048757763975155285,0.6863582626510041,0.05442047351111638,0.42364395089664847,0.004681357951161397,0.7972169175881926,0.9,0.8996210326859309,0.7260944335386907,0.6659800283049785,0.6659800283049785,0.7668907602140148,-0.7600962364537951,-0.7661236583590443,0.7735831896227665,0.7735831896227665,0.9,-0.10728856377892812,0.03345165957529132,-0.07530608593410525
Cytokinesis,0.19936386768447836,0.10345381526104418,-0.06464790507633147,0.22947645778439685,0.023057644110275687,0.33547229972100434,0.18846153846153846,-0.20372777843490342,0.1922913190433406,0.39501658401139983,0,0.3856409614570855,0.384407158836689,0.24494949494949494,-0.3619810395554103,-0.18846153846153846,0.15564263322884012,0.12118358348779683,0.06943658327518162,0.018424242424242426,0.21071943975626328,-0.12788864642667042,-0.026215935878248674,-0.2527744415085275,-0.36644522144522146,0,-0.03155109319699013,-0.20372777843490342,-0.2644654336247164,-0.4685829204190628,0.19618639222412806,-0.25042563238115595,-0.22911801688521644,-0.2559799415714089,-0.07713441052011,-0.16844900198866794,-0.16844900198866794,-0.1457255492433805,0.18420880556975333,0.21410512838042278,-0.2053206215507664,-0.2053206215507664,-0.23580952380952383,0.3016632016632017,0.1956308366685725,-0.20744264025414574
Cyto_C,-0.08770005270407229,-0.12408465165425601,-0.05275326622403085,-0.5853936674031132,-0.06609105112249039,-0.2723261214062874,-0.08593624279136647,0.5843971483293648,0.06389784136650878,-0.4519840940031262,0,-0.4274105798019461,-0.4078062466923812,-5.278690495124832e-4,0.42027695463414033,0.08593624279136647,0.06731706204563168,-0.6567319014391104,0.016174948240165632,-0.07402429712292727,-0.4943625462532403,0.00491764061745425,-0.04365431569929322,0.3384689484563969,0.4297472092273322,0,-0.048757763975155285,0.5843971483293648,0.07313991400160391,0.4204903282480116,0.006776695824393453,0.8967204079462261,0.8,0.8995318899941486,0.7059975536923029,0.6602506041052509,0.6602506041052509,0.6607342968521664,-0.7522955004063745,-0.759919512759126,0.6692993347505386,0.6692993347505386,0.8,-0.10775686678789817,0.03730554197823961,-0.07462040408367245
CyclinE,-0.29107415008503235,-0.24499550683614285,0.2090295550006176,-0.2831726930129401,-0.17754886833523303,-0.43478308234232665,-0.30540491127748853,0.4680706801420584,0.6199506441292273,-0.9199959360609207,0,-0.8164593689217445,-0.807968041409614,-0.4339565753074628,0.8506344727043199,0.30540491127748853,0.01506220435583372,-0.5505065669074484,-0.10862198211392327,-0.15385251630434546,-0.4207757412240828,0.5551699187080656,0.10230512435261896,0.32752110962536374,0.8539829813830181,0,0.09880181567219856,0.4680706801420584,0.7774542322345879,0.8035418485725012,0.521189293932421,0.4343866822561496,0.2925925925925926,0.3725672440501338,0.1439556204484822,0.48991856317816784,0.48991856317816784,0.4556547422782213,-0.4047115552274591,-0.43902948503459027,0.5105387652484413,0.5105387652484413,0.29358288770053476,-0.47623335555354684,0.5715081521164478,0.4455417169707762
CyclinD1,-0.31678921797590137,-0.1950896422234933,0.26948167316054394,-0.2713026611915824,-0.09519274532032204,-0.46113297694508215,-0.2911349359597602,0.586108558676818,0.5975298449115743,-0.9741094351292106,0,-0.9715426771500526,-0.7661571517130894,-0.5736357004068581,0.8891403397797184,0.2911349359597602,-0.1616471247483292,-0.7204562491691905,-0.07792815915259035,-0.08291483743089119,-0.49711538461538457,0.5402487260890823,0.1632077374377477,0.3276796400965508,0.8905386031872575,0,0.1595932796064224,0.586108558676818,0.8472018049685508,0.9641609649354663,0.4828323049663414,0.49801324503311256,0.3,0.4,0.21124180782403196,0.6539303288620065,0.6539303288620065,0.6394197632627181,-0.6066227302542113,-0.6268374034597015,0.66434892670442,0.66434892670442,0.3,-0.5038190655469623,0.5413727597521689,0.45736427843177063
CHK1,0.2866870049921351,0.22564297173627285,-0.2544050394462919,0.2679521821010399,0.14261653095023646,0.45730435739938147,0.29388242968685463,-0.45069527217682265,-0.65127904879955,0.8631634155597372,0,0.8605317296832048,0.7554578784848556,0.4857288723769976,-0.7811166764050584,-0.29388242968685463,0.05884959737368126,0.5712974797080932,0.09977077271824356,0.11925881417875414,0.3775870795564349,-0.5858930080982527,-0.13213763278944266,-0.3216724595026492,-0.7828968135513311,0,-0.12816991254734447,-0.45069527217682265,-0.8373665977102839,-0.951332483842377,-0.5394348330982134,-0.381965608064316,-0.2,-0.2957142857142857,-0.17306416657329743,-0.5008415322461528,-0.5008415322461528,-0.47631628817056615,0.4339013321392156,0.46117827130103217,-0.5148945111944636,-0.5148945111944636,-0.2,0.5018889279849841,-0.5965652678808221,-0.48178787607309503
Casp9,-0.10375013807686681,-0.14096837804167828,-0.04227210247915954,-0.6258022374080957,-0.08007276350819281,-0.2952338925420688,-0.10275235874763719,0.6692993347505386,0.08913470613825727,-0.5036831446641146,0,-0.4790789783702407,-0.45998380113124215,-0.017674409659740244,0.47290759490523004,0.10275235874763719,0.07888142107027703,-0.7217521741998919,0.010933568929820805,-0.08834405879124901,-0.5843971483293648,0.030525652062375563,-0.04100605012674566,0.360268200123877,0.4824998797285648,0,-0.04365431569929322,0.6692993347505386,0.09791632677801669,0.47107344129419404,0.03730554197823961,0.89062219840891,0.8995318899941486,0.9974577590166183,0.7703087599735305,0.7394802216362159,0.7394802216362159,0.7404125748292525,-0.8309138806618626,-0.8394353739843291,0.7502537148233065,0.7502537148233065,0.8996399639963997,-0.12740764284111325,0.06389784136650878,-0.05063681587031922
Casp8,-0.10330583139047969,-0.14182796705723244,-0.043429170970266905,-0.6536210972467806,-0.0794251001925039,-0.30052993657935534,-0.10275003511407987,0.7735831896227665,0.08270667673614263,-0.50827873524948,0,-0.48361666365845063,-0.4656545337041093,-0.010845042588234113,0.4765283741856766,0.10275003511407987,0.07834043878914711,-0.7408941831366725,0.01096232821273079,-0.08804771429257473,-0.6863582626510041,0.02588857334852045,-0.0416970451178069,0.366005074221034,0.4859871933481229,0,-0.04423101500396187,0.7735831896227665,0.07724741506785614,0.4750542981680872,0.03345165957529132,0.8920166152450332,0.8996210326859309,0.9978849773893549,0.794672987154651,0.7484586119714548,0.7484586119714548,0.8498456350811517,-0.8419371882383911,-0.848834281069667,0.8576126736522506,0.8576126736522506,0.9997116077865897,-0.12677150620963176,0.05820547960924718,-0.05235346015371597
Casp3,-0.1197148300831066,-0.1576962096655295,-0.03482128623805447,-0.662272059177373,-0.09422902877714853,-0.31714259907412506,-0.11923673374763719,0.7502537148233065,0.11382219604426198,-0.5540855291648598,0,-0.5290931406701982,-0.5095222226629026,-0.03451015773340223,0.5250208776274612,0.11923673374763719,0.09080453861172808,-0.7830794307583624,0.004182356695579849,-0.1027700805464502,-0.6692993347505386,0.05432377974591185,-0.03943635569392858,0.38118168772933364,0.5347331303489122,0,-0.04100605012674566,0.7502537148233065,0.12436720286373185,0.5211883299225646,0.06389784136650878,0.9804476585864282,0.9974577590166183,0.9926153948035024,0.8271089313164305,0.8155511345192578,0.8155511345192578,0.8167261298338376,-0.9058647683893544,-0.9154362096461994,0.8279320457740595,0.8279320457740595,0.997962693898077,-0.1464664488223938,0.08913470613825727,-0.029728486025195733
Casp2,-0.02809843400447427,-0.0819631723937944,-0.12727272727272726,-0.48753246753246754,-0.017292307692307694,-0.25715290821892167,-0.03214285714285714,0.8,-0.1057843641507008,-0.33730039463477185,0,-0.32928055810631573,-0.31542254379903256,0.13016342076625764,0.29420627039296354,0.03214285714285714,0.02673344116643086,-0.5859864150943396,0,-0.024444444444444442,-0.7,-0.13781094527363183,-0.10909090909090909,0.31703478040111704,0.3000967276542724,0,-0.1,0.8,-0.13739180021711805,0.29725270764319184,-0.125,0.7,0.5,0.6,0.4975975975975976,0.899375,0.899375,0.9994811932555123,-0.8988099665303088,-0.8991817949373562,0.8996863974911798,0.8996863974911798,0.5,-0.03130699088145896,-0.1231818181818182,-0.14545454545454545
BIM,-0.04731524733501018,-0.0991062027776705,-0.11322537112010797,-0.5518749628573126,-0.03127835051546392,-0.27545592807569763,-0.05028305028305028,0.8995685005393744,-0.05874550482719472,-0.38036300216840113,0,-0.3686633882245518,-0.35114685711300664,0.09879246416578116,0.3417310208750016,0.05028305028305028,0.03868257009061606,-0.563991991991992,0.010526315789473684,-0.040560819598163336,-0.8,-0.10517386876182162,-0.08704453441295548,0.34119445403886284,0.3489371564705947,0,-0.09473684210526316,0.8995685005393744,-0.09060335423098481,0.34497659886907084,-0.10456730769230768,0.8,0.6,0.7,0.5882977558839628,0.896124611248748,0.896124611248748,0.8964437759469721,-0.7942957694734585,-0.8957860397888787,0.9976803886512625,0.9976803886512625,0.6,-0.05513368983957219,-0.0839680567559781,-0.1462438146648673
BIK,-0.04731524733501018,-0.0991062027776705,-0.11322537112010797,-0.5518749628573126,-0.03127835051546392,-0.27545592807569763,-0.05028305028305028,0.8995685005393744,-0.05874550482719472,-0.38036300216840113,0,-0.3686633882245518,-0.35114685711300664,0.09879246416578116,0.3417310208750016,0.05028305028305028,0.03868257009061606,-0.563991991991992,0.010526315789473684,-0.040560819598163336,-0.8,-0.10517386876182162,-0.08704453441295548,0.34119445403886284,0.3489371564705947,0,-0.09473684210526316,0.8995685005393744,-0.09060335423098481,0.34497659886907084,-0.10456730769230768,0.8,0.6,0.7,0.5882977558839628,0.896124611248748,0.896124611248748,0.8964437759469721,-0.7942957694734585,-0.8957860397888787,0.9976803886512625,0.9976803886512625,0.6,-0.05513368983957219,-0.0839680567559781,-0.1462438146648673
BID,-0.05279784683964843,-0.09203749189235169,-0.09283887468030691,-0.5026839826839826,-0.03662955465587044,-0.23501125270866283,-0.051091461729759605,0.49911699779249447,-0.005629408255534468,-0.3530730346063863,0,-0.33654013274125,-0.3122551566080978,0.04775493564731233,0.3201107352712006,0.051091461729759605,0.043588886331166574,-0.5281261859582542,0.011764705882352941,-0.044350873712575845,-0.4,-0.06558062017323536,-0.06713554987212275,0.29975396344104654,0.3289103885494383,0,-0.08235294117647059,0.49911699779249447,0.0022849540496599264,0.3237546072176757,-0.0709090909090909,0.8,0.6,0.7,0.5637579169598874,0.49151847684131844,0.49151847684131844,0.4916771651968725,-0.5865616197901784,-0.5906137641561733,0.5950716903491288,0.5950716903491288,0.6,-0.06301169590643275,-0.03837897042716319,-0.1272378516624041
BCLXL,0.04217458315818971,0.10381141341062172,0.13832558139534884,0.5630631861874174,0.02713131155345294,0.29909281422006767,0.049470764289364186,-0.8997536945812807,0.09590885764266235,0.3967152376965742,0,0.389311041685539,0.37191655623932085,-0.1313335998398142,-0.35582290635885827,-0.049470764289364186,-0.034924346222020855,0.5708736029359068,-0.008,0.0368296527913491,0.8,0.13842161210490475,0.11186046511627908,-0.3608364796052431,-0.3620347952079833,0,0.12,-0.8997536945812807,0.13258409595511791,-0.3586995206798947,0.1358520062532569,-0.8,-0.6,-0.7,-0.5915594598054275,-0.997375487354215,-0.997375487354215,-0.9976374792755202,0.8959175843149293,0.9970407038050515,-0.9984763576352773,-0.9984763576352773,-0.6,0.048377550803427774,0.12039746079871146,0.16944186046511628
BCL2,0.04217458315818971,0.10381141341062172,0.13832558139534884,0.5630631861874174,0.02713131155345294,0.29909281422006767,0.049470764289364186,-0.8997536945812807,0.09590885764266235,0.3967152376965742,0,0.389311041685539,0.37191655623932085,-0.1313335998398142,-0.35582290635885827,-0.049470764289364186,-0.034924346222020855,0.5708736029359068,-0.008,0.0368296527913491,0.8,0.13842161210490475,0.11186046511627908,-0.3608364796052431,-0.3620347952079833,0,0.12,-0.8997536945812807,0.13258409595511791,-0.3586995206798947,0.1358520062532569,-0.8,-0.6,-0.7,-0.5915594598054275,-0.997375487354215,-0.997375487354215,-0.9976374792755202,0.8959174854935112,0.8970407541108276,-0.9984763576352773,-0.9984763576352773,-0.6,0.048377550803427774,0.12039746079871146,0.16944186046511628
