Source,ZEB1_H,ZEB1,YAP,WT1,U_Kinetochores,Twist,TRIO,TAZ,Stress_Fibers,SNAI2,SNAI1,Replication,Rac1,Plk1_H,PAK1,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_200,Merlin,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FocalAdhesions,f4N_DNA,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,Cytokinesis,b_catenin_TCF4,ApicalBasal_Pol,AMOT,A_Kinetochores
SNAI1,0.9,0.9,0.7,0.6,0,1,0.6,0.7,0.7,0.9,0.9,0,0.9,0,0.8,0.9,0.7,-0.7,-0.9,-1,-0.7,0.9,-0.6,0.8,0.7,0.8,0,0,-0.9,-1,0,0.9,-0.8,-0.6,0
Replication,0,0,0,0,0.10196378616083561,0,0,0,0,0,0,-0.010058822860975553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21243188783722236,0.057019975749324624,0,0,0.05932745420359207,0,0,0,0.25937863022938795
Rac1,0.7,0.7,0.9,0.8,0,0.8,0.8,0.8,0.9,0.7,0.8,0,0.9,0,0.9,0.7,0.7,-0.7,-0.7,-0.8,-0.8,0.7,-0.7,1,0.9,1,0,0,-0.8,-0.8,0,0.7,-0.8,-0.8,0
Plk1_H,0,0,0,0,-0.09424431282008094,0,0,0,0,0,0,0.28894028075062556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2182698944517126,0.3723719740871444,0,0,0.38219653549065313,0,0,0,-0.25798997883114
PAK1,0.8,0.8,0.9,0.8,0,0.9,0.8,0.9,0.7,0.8,0.9,0,0.9,0,0.8,0.8,0.6,-0.6,-0.8,-0.9,-0.8,0.8,-0.7,0.8,0.8,0.8,0,0,-0.8,-0.9,0,0.8,-0.7,-0.8,0
N_bcatenin_H,1,0.9,0.6,0.5,0,0.8,0.5,0.6,0.6,1,0.9,0,0.8,0,0.7,0.8,0.6,-0.6,-0.9,-0.9,-0.6,0.9,-0.5,0.7,0.6,0.7,0,0,-0.8,-0.9,0,1,-0.7,-0.5,0
N_bcatenin,0.9,0.9,0.6,0.5,0,0.7,0.5,0.6,0.5,1,0.8,0,0.7,0,0.6,0.8,0.6,-0.6,-0.8,-0.8,-0.5,0.8,-0.5,0.6,0.6,0.6,0,0,-0.8,-0.9,0,0.9,-0.7,-0.4,0
Mst1_2,-0.4,-0.4,-0.9,-0.8,0,-0.4,-0.8,-0.8,-0.7,-0.5,-0.5,0,-0.7,0,-0.6,-0.5,-0.6,0.6,0.4,0.4,0.5,-0.3,0.6,-0.7,-0.8,-0.8,0,0,0.8,0.4,0,-0.4,0.7,0.5,0
miR_34,-0.9,-0.8,-0.8,-0.7,0,-1,-0.7,-0.7,-0.8,-0.9,-0.9,0,-0.9,0,-0.8,-0.9,-0.6,0.6,0.9,0.9,0.7,-0.8,0.6,-0.9,-0.8,-0.9,0,0,0.8,0.9,0,-0.9,0.7,0.7,0
miR_200,-1,-1,-0.8,-0.7,0,-0.8,-0.7,-0.7,-0.8,-0.9,-0.9,0,-1,0,-0.9,-1,-0.6,0.6,0.9,1,0.8,-1,0.7,-0.9,-0.8,-0.9,0,0,0.8,0.9,0,-0.9,0.7,0.7,0
Merlin,-0.6,-0.6,-1,-0.9,0,-0.7,-0.9,-1,-0.8,-0.6,-0.7,0,-0.9,0,-0.8,-0.6,-0.7,0.7,0.6,0.7,0.7,-0.6,0.8,-0.9,-0.9,-0.9,0,0,0.9,0.7,0,-0.6,0.8,0.9,0
LEF1,1,0.9,0.6,0.5,0,0.8,0.5,0.6,0.6,1,0.9,0,0.8,0,0.7,0.8,0.6,-0.6,-0.9,-0.9,-0.6,0.9,-0.5,0.7,0.6,0.7,0,0,-0.8,-0.9,0,0.9,-0.7,-0.5,0
Lats1_2,-0.5,-0.5,-1,-0.9,0,-0.5,-0.9,-0.9,-0.8,-0.6,-0.6,0,-0.8,0,-0.7,-0.6,-0.7,0.7,0.5,0.5,0.6,-0.4,0.6,-0.8,-0.9,-0.9,0,0,0.9,0.5,0,-0.5,0.8,0.6,0
IQGAP1_LeadingE,0.6,0.6,0.9,0.8,0,0.6,0.8,0.8,0.8,0.7,0.7,0,0.9,0,0.8,0.7,0.8,-0.8,-0.6,-0.6,-0.7,0.5,-0.7,0.9,1,0.9,0,0,-0.8,-0.6,0,0.6,-0.9,-0.6,0
Horizontal_Pol,0.7,0.7,0.9,0.8,0,0.7,0.8,0.8,0.8,0.8,0.7,0,0.9,0,0.8,0.7,0.8,-0.8,-0.7,-0.7,-0.7,0.6,-0.8,1,0.9,0.9,0,0,-0.8,-0.7,0,0.7,-0.9,-0.7,0
FocalAdhesions,0.6,0.6,1,0.9,0,0.7,0.9,0.9,0.9,0.7,0.8,0,1,0,0.9,0.7,0.8,-0.8,-0.7,-0.7,-0.8,0.6,-0.7,1,1,0.9,0,0,-0.9,-0.7,0,0.7,-0.9,-0.7,0
f4N_DNA,0,0,0,0,0.060689469354566074,0,0,0,0,0,0,-0.21243188783722236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01636281707779241,0.022821256841990052,0,0,0.025450886471619683,0,0,0,0.20532441190863343
Ect2,0,0,0,0,-0.06356890635050792,0,0,0,0,0,0,0.2182698944517126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1249770853626444,-0.0310449687647311,0,0,0.06675849944336139,0,0,0,-0.20215304497998496
Ecadherin_mRNA_H,-0.7,-0.7,-0.8,-0.7,0,-0.5,-0.7,-0.8,-0.7,-0.8,-0.6,0,-0.8,0,-0.7,-0.7,-0.8,0.8,0.6,0.6,0.6,-0.6,0.7,-0.8,-0.9,-0.8,0,0,0.8,0.7,0,-0.7,0.9,0.6,0
Ecadherin_mRNA,-0.6,-0.6,-0.7,-0.6,0,-0.4,-0.6,-0.7,-0.6,-0.7,-0.5,0,-0.7,0,-0.6,-0.6,-0.7,0.7,0.5,0.5,0.5,-0.5,0.6,-0.7,-0.8,-0.7,0,0,0.8,0.6,0,-0.6,0.8,0.5,0
Cytokinesis,0,0,0,0,-0.06343021009530682,0,0,0,0,0,0,0.21703532655047802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11808695500882689,-0.025450886471619683,0,0,-0.0310449687647311,0,0,0,-0.20543552301974458
b_catenin_TCF4,0.9,0.9,0.6,0.5,0,0.8,0.5,0.6,0.6,0.8,0.9,0,0.8,0,0.7,0.8,0.6,-0.6,-0.9,-0.9,-0.6,0.9,-0.5,0.7,0.6,0.7,0,0,-0.8,-0.9,0,0.8,-0.7,-0.5,0
ApicalBasal_Pol,-0.8,-0.8,-0.9,-0.8,0,-0.6,-0.8,-0.9,-0.8,-0.9,-0.7,0,-0.9,0,-0.8,-0.8,-0.9,0.9,0.7,0.7,0.7,-0.7,0.8,-0.9,-1,-0.9,0,0,0.9,0.8,0,-0.8,0.9,0.7,0
AMOT,-0.5,-0.5,-0.9,-0.8,0,-0.5,-0.8,-0.8,-0.7,-0.6,-0.6,0,-0.8,0,-0.7,-0.6,-0.7,0.7,0.5,0.5,0.6,-0.4,0.6,-0.8,-0.9,-0.8,0,0,0.9,0.5,0,-0.5,0.8,0.5,0
A_Kinetochores,0,0,0,0,-0.21243188783722236,0,0,0,0,0,0,-0.09424431282008094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06356890635050792,0.003998145218664333,0,0,3.9304261189783277e-4,0,0,0,0.0019129137570175821
