Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,SNAI2,SNAI1,SMAC,pRB,Plk1,pAPC,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,MCL_1,LEF1,IAPs,FoxM1,Emi1,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4
pAPC,0.3518961220321374,0.3325988798736819,0.4255673517826228,-0.18173574091025355,0.3819694598613535,0.3370802834017551,0.38294719448088516,-0.23115061949401414,0.3366707132285761,-0.4391001803662964,-0.0979874220992526,0.37581160840506556,0.22368755688228217,0.29239399446292536,-0.09977954189636146,-0.38294719448088516,-0.25361986128496217,0.26506211576976124,0.35993751820875897,0.22723673709328293,-0.4377249016033491,0.37874973898573516,0.13499224543248955,-0.23115061949401414,-0.22087913554961275,-0.1042315008290545,-0.39177806643391433,-0.28000602966490806,-0.25152673167332146,-0.5081445010219222,0.3086179618870265,-0.5059470745807892,-0.4313181268778483,-0.3836198551840984,0.21539022011927825,-0.24551992188923735,-0.22713341774799095,-0.2440538286899392,0.4656039170309646,-0.21486439031947535,-0.21486439031947535,-0.10167804863694711,0.19439148655766234,0.21393069498756073,-0.23333589246683517,-0.23333589246683517,-0.23473184952880938,0.3309064588941107
p27Kip1,0.3768451761074864,0.2860804048435818,0.4454846215166105,-0.2962952228112893,0.3235036582288763,0.495389657113782,0.3632416133605218,-0.15687691116486083,0.7180811232187276,-0.5634846360396616,-0.3379151708159309,0.6191115371057598,0.6807900438339759,0.5219052698005402,-0.5501675814702546,-0.3632416133605218,0.03501431167931133,0.3975220469529754,0.18120897440888578,0.15180853365346456,-0.6648408360300728,-0.08650881750079564,-0.2950579449355325,-0.15687691116486083,-0.7028203604432401,-0.6025339877860586,-0.4121313505110722,-0.6414550537923652,-0.3329296820667216,-0.5025623333912795,0.4591237266097087,-0.5081340992145967,-0.6392210481643821,-0.6245459504423213,0.17301408922583728,-0.16099679589461105,-0.15010519501537464,-0.15901104743267744,0.4609939119426583,-0.1478554607303487,-0.1478554607303487,-0.09991093792197231,-0.03513671154478879,-0.024042338479066505,-0.16090995264846858,-0.16090995264846858,-0.15544267053701016,0.5216716979753566
p21,-0.6206291262018259,-0.6860427598137814,0.46708677490199096,-0.2500303612554327,-0.5664614280279159,-0.45697620765880637,-0.6221010458715714,-0.047603537708406654,0.535636467292755,-0.4870449909840973,-0.16900977074775034,0.5378913913941645,0.40133506534733066,-0.16830717841633397,-0.36326561712808464,0.6221010458715714,0.8454518531762194,0.20389429909542742,-0.7368564832447314,0.04272362061743202,-0.4852462957677762,-0.06336597462391226,-0.08449820049221693,-0.047603537708406654,-0.4180482760963059,-0.6152661868083376,-0.3327657272752009,-0.4492260864094189,-0.3449392311488122,-0.43192740212674846,0.48726850024605267,-0.43682037889170583,-0.4663898071153417,-0.4401563347416307,0.17404204965667605,-0.04429582588722536,-0.028030303030303027,-0.037497114782207276,0.3890285608919253,-0.052449149147868836,-0.052449149147868836,-1.9471807715691047e-4,0.0010448549462781,0.006983921212078549,-0.050917742526770025,-0.050917742526770025,-0.02847222222222222,-0.41087888956851043
N_bcatenin_H,1,0.9,0,0,0.8,1,0.9,0,0,0,0,0,0,0.8,0,-0.9,-0.9,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Myc,-0.36498860867402805,-0.250148285540687,-0.4720935276404986,0.33377637145566164,-0.3248366032043449,-0.4100571607858883,-0.35331611102163035,0.24924847095481514,-0.5652911885277659,0.5949926356618269,0.4007291717174419,-0.557167090433405,-0.554070195362766,-0.3954423049312509,0.5305187094086947,0.35331611102163035,-0.11048496043334624,-0.4337448532694258,-0.16574139268974403,-0.24423469685013197,0.6034451218410212,-0.005308120110045955,0.4034880452960133,0.24924847095481514,0.5679013428278836,0.6826928378920846,0.42300900642293565,0.6052161492184488,0.2514529086361799,0.5284554584953614,-0.37739273444451615,0.5382631816741276,0.5835976953193885,0.5676836440932631,-0.11566326901491615,0.26577741661315146,0.24733021183269224,0.2653329603439153,-0.4778193261376419,0.22946641174804863,0.22946641174804863,0.16967146086071794,-0.05967727135304046,-0.08826172888079656,0.25288657032561146,0.25288657032561146,0.2552239835028801,-0.41596551109047536
miR_34,-0.9,-0.8,0,0,-1,-0.9,-0.9,0,0,0,0,0,0,-0.9,0,0.9,0.9,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9
miR_200,-1,-1,0,0,-0.8,-0.9,-0.9,0,0,0,0,0,0,-1,0,0.9,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9
MCL_1,0.043018387637757546,0.10643576585569992,0.5147173781110322,-0.052484824127837226,0.5696212121212121,0.3107460053613842,0.049579554043839756,-0.8931367298553727,0.3983323259790989,-0.2955618161563055,-0.21221811783909877,0.3913221674529363,0.3803066194690966,-0.12338500537120227,-0.3515225320910902,-0.049579554043839756,-0.033652079510786304,0.5351909644955497,0.03568733773702718,0.7986798679867987,0.02854272634371589,-0.22924881796764493,-0.30768347787484046,-0.8931367298553727,0.1496334979068746,-0.3592105939634656,0.05383097559227721,-0.29949669524830297,-0.15628496984365653,-0.4227400844717149,0.17611087337415268,-0.24792181132561733,0.062462462462462454,-0.11474853642561952,0.1708290554894471,-0.7992994746059544,-0.6,-0.7,-0.4528881343142803,-0.9700141585191515,-0.9700141585191515,-0.9680294741422216,0.9235102277466197,0.9393818313151725,-0.9789876865522509,-0.9789876865522509,-0.6,0.05082425970187543
LEF1,1,0.9,0,0,0.8,1,0.9,0,0,0,0,0,0,0.8,0,-0.9,-0.9,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
IAPs,0.10982074344766761,0.15204775717326552,0.5243735077338455,-0.09202144538103804,0.6344225493123288,0.3156237892910288,0.10944088397198884,-0.5208953217653918,0.4245857014732338,-0.3291348017430763,-0.23219883770359057,0.40276277705312474,0.43824164470835514,0.008540814283874692,-0.3737619473972103,-0.10944088397198884,-0.07778814897635374,0.5218163362933689,0.09265323383119686,0.49400067729376496,-0.10675991054469809,-0.1312768267114485,-0.2710578250556199,-0.5208953217653918,-0.04024417927535294,-0.4019196651765721,-0.005541550712433836,-0.3413065197230634,-0.15985994316556168,-0.453026040071088,0.20656761176957858,-0.28872316282680444,-0.088586096581574,-0.20490593844458843,0.13092164585851235,-0.9219473879390071,-0.8894433966826248,-0.9702090362717939,-0.2719268628857481,-0.5012369133903846,-0.5012369133903846,-0.487365588140637,0.48404506592763064,0.5246027678231343,-0.5373187847717098,-0.5373187847717098,-0.8912033234819828,0.13088755867632726
FoxM1,-0.16305529064163757,-0.15612219250509815,-0.3649994714042994,0.2535563483083913,-0.1819165610148387,-0.15692807220146981,-0.197876239607716,0.06574045122577653,-0.18506345541229918,0.4820081471082228,0.3753153207739613,-0.32075849614704494,-0.2397157320836211,-0.12748718006589427,0.08095952901290274,0.197876239607716,0.06963563943560047,-0.23539145886364615,-0.18064303577089913,-0.06429048351608854,0.3908578662066722,-0.3693632012818712,-0.06003422050809513,0.06574045122577653,0.24149283635093308,0.09355298377787209,0.3016961356918468,0.4041525830026142,0.08929958346413137,0.44023435025698143,-0.23403045788682983,0.4421685660664699,0.48742349684734776,0.4481184261961732,-0.038604960367604316,0.06907473113285863,0.06025573192239858,0.06708304115934637,-0.39146790682071186,0.06767907921568994,0.06767907921568994,0.008164225733113732,-0.022713819419549676,-0.03132644770429757,0.0664060746529728,0.0664060746529728,0.061629234252376416,-0.15475441783646904
Emi1,-0.3768427792944639,-0.3572705766638068,-0.41793654871558583,0.21120671471599003,-0.3783139374110275,-0.35481114289821625,-0.4097074659678439,0.03312386403393773,-0.32503478481680864,0.4322572728373184,0.1560640977084693,-0.35820096463340056,-0.17251659637029984,-0.2978255081541016,0.07665998128035269,0.4097074659678439,0.30596774616596345,-0.14329379835662204,-0.3916153896886048,-0.03053383137370184,0.4236069531439323,-0.25512212863871103,-0.14546280752351015,0.03312386403393773,0.1778888743155844,0.07930448621147189,0.2805243618992913,0.24001167459375927,0.26199868856372577,0.3992058985032547,-0.4209146245459011,0.397604112615723,0.4177920801196911,0.3626716953995749,-0.13723354075861768,0.031215581432485796,0.020678294841868495,0.02669074921163444,-0.3554776031603938,0.038094904472844644,0.038094904472844644,-0.012823561839330727,-0.005643824867989289,-0.00980715544119946,0.03448583539590909,0.03448583539590909,0.020893682008869097,-0.34722134698060736
E2F1,-0.42066712885981977,-0.3191791802669162,-0.4748602925580845,0.30287510786041477,-0.3949787995358851,-0.48660404769894405,-0.40879875408916166,0.34953561765216445,-0.5414337246772609,0.5926796675993522,0.3014631980142275,-0.5437075826599647,-0.6093164044530764,-0.4719282439006062,0.5663783340853945,0.40879875408916166,-0.026341871353643603,-0.5170982192860291,-0.2263518893148267,-0.3438163344601906,0.5921070613918726,0.11646957478515822,0.29879755474998315,0.34953561765216445,0.6160989139478578,0.6222988631061392,0.33452421389971837,0.6629591179413094,0.34965126454439743,0.4382133035722622,-0.48464731152261764,0.5429038800618284,0.573499004727924,0.6473702799676391,-0.17719477938779685,0.3797871106033253,0.3706823613340467,0.38690501182718806,-0.38373912477352773,0.32125195544498136,0.32125195544498136,0.27744988728351855,-0.1417963853362538,-0.19463781915266937,0.35361258433745124,0.35361258433745124,0.38288173923390445,-0.4960740801063209
Cyto_C,-0.09656162897353947,-0.13082133495123513,-0.4917172789323968,0.0821875266472355,-0.5851577783347652,-0.27675369797632277,-0.0915349625628598,0.48110279707213877,-0.3885492200700463,0.2972804781854884,0.2050608292413282,-0.3550365958703173,-0.38138294522139715,-0.01658331968495308,0.34121525631953736,0.0915349625628598,0.06987958801604148,-0.490098800648844,-0.07891764180826381,-0.44101815378314246,0.09996248811075732,0.1193813606399065,0.24901469061151782,0.48110279707213877,0.055881932453195594,0.3662439914134078,9.99740178678972e-4,0.3083141817561529,0.14792093195268513,0.42099365651310483,-0.18744401757757187,0.25197944603050704,0.07777791565709975,0.19263675141397016,-0.11994778969575823,0.8586305073766723,0.7969981238273921,0.8873494610062072,0.2619732711299261,0.47138770755670967,0.47138770755670967,0.4587774690091605,-0.4592130687124514,-0.4991182715451557,0.5051815321479697,0.5051815321479697,0.7976401179941003,-0.11718656030587941
CyclinE,-0.32269292956422574,-0.28170444403808326,-0.44276454957940414,0.3129352683427271,-0.308734576397438,-0.4563369783612883,-0.34440691996198713,0.02132943243812533,-0.6148061166147718,0.5634468472899972,0.38788804777800717,-0.5159578940463962,-0.5974355048634147,-0.38366386241086425,0.46069285112707775,0.34440691996198713,0.03392938589030755,-0.29698874174340606,-0.18941204763083913,-0.01784848319242642,0.6686369993410749,-0.0715833344294342,0.20776693742083366,0.02132943243812533,0.5136437636711326,0.51566254868026,0.39413745006578743,0.5582833913463465,0.31252596855767856,0.5054997095435643,-0.44533089963613015,0.5125129927171727,0.6530275084338971,0.6274983273531485,-0.06098600905266523,0.017073489075660482,0.0075465127847975325,0.012160491770635815,-0.4586900517764394,0.03145364894198742,0.03145364894198742,-0.021263269683568155,0.04805398308674092,0.043219230650245806,0.023784422475177168,0.023784422475177168,0.007009051554506099,-0.48771520414589353
CyclinD1,-0.39889706019004595,-0.2774766162035892,-0.49032213512764156,0.32046962656435735,-0.3220215606937765,-0.48364742957775686,-0.3662689071684554,0.21021520694136756,-0.7689275989293759,0.6072414444233905,0.2915642962105234,-0.7673056905876774,-0.6203724112672127,-0.4982635082067731,0.5993063876048805,0.3662689071684554,-0.0857846860337684,-0.44120673646533043,-0.17138341692347628,-0.20438344534197112,0.6072338704557814,0.18231876438000366,0.35060197709180907,0.21021520694136756,0.647731046056018,0.750633148973349,0.36721706200212323,0.6804061389726676,0.3929614907394173,0.4417105152957664,-0.51274996332137035,0.5475763967665623,0.5744170411975206,0.6692674852953664,-0.21648442533556295,0.21727629348050245,0.1991475409836066,0.2142700116971316,-0.40278303864978166,0.19443232322288306,0.19443232322288306,0.1520716805740612,0.02107055189767386,0.005105215496071823,0.21505006731334317,0.21505006731334317,0.20494286107669007,-0.5006234889429051
CyclinB,0.007840069564699728,0.017760321485066632,-0.3483735004548225,0.2161804185793065,-0.12214706112546914,-0.003723544634807158,0.009856905086214326,0.24663751280541266,-0.17501076061607324,0.36659993305003746,0.3541372301453467,-0.3134650985739691,-0.308023624423272,-0.0019077738907517365,0.177576136506306,-0.009856905086214326,-0.1774490458143665,-0.24164935764439893,0.03747174320456283,-0.24507172855244752,0.37764348956961846,-0.3608202286739809,0.08402979613882315,0.24663751280541266,0.288363398268387,0.20737769549633528,0.19007740478673524,0.3375971285852727,-0.04601336075084807,0.4282418801932245,-0.22334392452317756,0.4286552573559449,0.37600317586842313,0.3447234881754642,-0.029353415727136855,0.27396207447032095,0.271476626538366,0.2822527044243187,-0.3774326548123155,0.2223004677683485,0.2223004677683485,0.12260895443260647,-0.20399673884226668,-0.23263428154514104,0.24752799685343158,0.24752799685343158,0.2827524300257503,-0.0016174119205724779
CyclinA_mRNA,-0.411706497442008,-0.38503649825899017,-0.43491091695128564,0.28898534701333545,-0.389280533341197,-0.38486962449168083,-0.43949255293003137,-0.12881491157766226,-0.3159183418826341,0.43866915015347113,0.24122684363140162,-0.3596065293339074,-0.15356150186835701,-0.3119705930818796,0.08064340444304598,0.43949255293003137,0.3395542808224249,-0.029937238018633287,-0.41941455993185023,0.13091020575303886,0.4245533100158772,-0.21359823198498437,-0.1207415180325799,-0.12881491157766226,0.1642084098429552,0.08091448767135999,0.22724792488381645,0.22634138115923128,0.27230554768362736,0.42967725924882016,-0.33160712913609525,0.42074483889210923,0.4179135940912665,0.3474550968873201,-0.08953136452688006,-0.14554765198575792,-0.15146352941176472,-0.1539204034316288,-0.2971357445128437,-0.09806979091265189,-0.09806979091265189,-0.13226658841097327,0.1305654700902854,0.13809425216731847,-0.12774481788046294,-0.12774481788046294,-0.15863179074446682,-0.3746586597105779
CyclinA,-0.4204797344125403,-0.3971825770121662,-0.4379290918297296,0.29034737613053513,-0.4063736040329623,-0.391968871971448,-0.4554209732879295,-0.12774481788046294,-0.3179384465490646,0.44230150995774065,0.2461204835714231,-0.36186883683531157,-0.15837929120032862,-0.31391186041123925,0.08363638207377698,0.4554209732879295,0.35221427775457426,-0.0318880053479154,-0.43480238965240386,0.12881491157766226,0.4284871341486186,-0.2161515510533535,-0.11887487125692117,-0.12774481788046294,0.16752888273531485,0.08483034958581424,0.22726762057897282,0.23133555028166172,0.17194007719666832,0.43463827802498517,-0.3331041031650349,0.42584363696530103,0.4245533100158772,0.3505688250500834,-0.08783069010616468,-0.14366266490318208,-0.1539204034316288,-0.15287047449668772,-0.30046299403709803,-0.09766028350377262,-0.09766028350377262,-0.13265754510721986,0.13098838481052275,0.1383420087212327,-0.1273170968571377,-0.1273170968571377,-0.1625185577631143,-0.38089247386460906
Cdk1,-0.038527560201826114,-0.025181719395867008,-0.3540131717255813,0.06782656287731499,-0.14769644123256861,-0.04886338424043411,-0.042565208206438804,0.2229004253380784,-0.1982313135152275,0.3696797192261111,0.34165792450008675,-0.320187033848708,-0.31211256740226434,-0.040008976393466074,0.179108854801969,0.042565208206438804,-0.138592145790833,-0.20561064303510643,-0.007751206343834122,-0.2214853190145602,0.38318239938882037,-0.3506794000276661,0.06061776750136809,0.2229004253380784,0.29205756630787827,0.21211761270872778,0.07283869686870184,0.34181342176875434,-0.006345709104844025,0.4191506881591267,-0.21456726753260033,0.42226586933334065,0.3812248419125651,0.3486299985400964,-0.007977010750036973,0.2525644551940581,0.254614928815437,0.2630348909488275,-0.36149998156534646,0.1935291017844833,0.1935291017844833,0.10566142506189743,-0.1755523217526242,-0.2058081881624349,0.2237472736112336,0.2237472736112336,0.26697113567767516,-0.04607104047795699
Cdh1,0.19155861515258082,0.18974719455689903,0.24045777856867137,-0.2864600518104664,0.2235560160938786,0.1758499591959454,0.23690696054430913,-0.017979104770627214,0.18074202846706927,-0.3699467354960718,-0.27812529071074044,0.18625457828745332,0.11336224491071553,0.13070691097505255,-0.051236069270444926,-0.23690696054430913,-0.17838926973663835,0.1441404934687742,0.22974211659663987,0.017750279979095514,-0.26522524491767563,0.24307023564140212,0.07647829280057647,-0.017979104770627214,-0.11500337099941271,-0.05524419083328298,-0.14968932471864052,-0.1802490064399855,-0.09593716329294119,-0.3147887846270848,0.15889788927435153,-0.3134502118361746,-0.2640861933538607,-0.3332769079111791,-0.07715732480870971,-0.02045880267446116,-0.02007706637697714,-0.021019532130401797,0.2440647741776663,-0.013758998060977152,-0.013758998060977152,0.02301920767033285,-0.020861137023215102,-0.01740122022043709,-0.01791091578973732,-0.01791091578973732,-0.021990974175570742,0.1718825666170515
Cdc25C,-0.037951942343353653,-0.02426234950728915,-0.3524914937036379,0.06720656777046552,-0.1410886809559647,-0.04771046427218314,-0.041517306705585025,0.2214853190145602,-0.19664119433445998,0.36789901311284534,0.3392667231583265,-0.3188435670594707,-0.3079436088997717,-0.03961843389510568,0.17679926645212782,0.041517306705585025,-0.1382410070419855,-0.20432689629253908,-0.00727215508378887,-0.2192296146225583,0.3812248419125651,-0.3498009851141538,0.05930465882346607,0.2214853190145602,0.290154815533438,0.2089328861223274,0.07298868009306912,0.3389142207497641,-0.006278377959102613,0.516852732768984,-0.21380794204427594,0.4198983767071593,0.37784814505035214,0.3470035394154841,-0.008859749956220717,0.24884284419532446,0.23905388435530997,0.254614928815437,-0.36054762261438517,0.19281091079770057,0.19281091079770057,0.10517067189697124,-0.1754779098232611,-0.2055904515736256,0.2229004253380784,0.2229004253380784,0.24932579533294832,-0.04532413842397634
Cdc25B,-0.1548923285208416,-0.14542366541383206,-0.35882737686614674,0.2324321470223334,-0.18952347797957564,-0.1526123833229287,-0.1813601623279233,0.12079136219359139,-0.1863852962573431,0.4749791496991372,0.3587226012789477,-0.31826460204521256,-0.24877331779696657,-0.13091871650550252,0.09538223852149022,0.1813601623279233,0.018256694072674703,-0.22056797214960394,-0.16039926252684006,-0.11767568755858418,0.48472344043505056,-0.36177544120606286,-0.05725258124400686,0.12079136219359139,0.24784729195574937,0.11177954086934432,0.2937275124171989,0.40816056915913634,0.09099246009014313,0.5292277391669493,-0.22698744050442743,0.531316860698353,0.4788158267836309,0.44521842454442806,-0.03176131259285265,0.12943331411908746,0.10992362247681398,0.1254996094968248,-0.3801454660452702,0.11218484921040636,0.11218484921040636,0.04360419666337481,-0.07433979385376656,-0.08975929869635438,0.12247460145492717,0.12247460145492717,0.11321384628004265,-0.15084053700649
Cdc25A,-0.3285702765437247,-0.3147918192695402,-0.3694241197155065,0.27211951034747234,-0.2995054998137378,-0.30454530715163164,-0.36565751028691157,-0.15521431081266407,-0.28334902432258324,0.48622311686485836,0.3792778635249644,-0.3142613886188159,-0.14434706573093417,-0.25257297430777503,0.06501026453665344,0.36565751028691157,0.27667527562236294,-0.1236876675576232,-0.35242362750760287,0.15592464462543595,0.48361926589190085,-0.3345772881104838,-0.1286168488619356,-0.15521431081266407,0.156286332752415,0.06740112373250048,0.2106023120582276,0.3397948921240028,0.21376555820777807,0.3473763102362676,-0.36040934395755764,0.44816561438776137,0.48007608393856777,0.32693889631399287,0.033143612832889094,-0.173601194780082,-0.18042168634993283,-0.18256000910302336,-0.29928141079893444,-0.12091401813197297,-0.12091401813197297,-0.15416136734998626,0.15300109589027616,0.1621266245459188,-0.15507946544272355,-0.15507946544272355,-0.18950480896694497,-0.2985952116376076
Cdc20,0.22823194475076725,0.213772427139406,0.4174117564530337,-0.03440636954937919,0.28182026406560123,0.22240479910796368,0.25983949259535494,-0.2532913294079588,0.24636296654080425,-0.4346127191588252,-0.13265109848525766,0.37548214180067,0.28220994195788823,0.1874129064118471,-0.09892999277766246,-0.25983949259535494,-0.10216977842178261,0.270040178093172,0.23564007627752845,0.24932780207399569,-0.43839154299685584,0.400062178279864,0.08595593967779591,-0.2532913294079588,-0.2750118404301568,-0.11266310199447242,-0.37390066141951783,-0.33312759073319376,-0.14700217380828284,-0.49604172340855834,0.30057245552673084,-0.4959620204068835,-0.43218125320916023,-0.3969792454537758,0.11028932135539622,-0.27242269106213096,-0.2535598131896963,-0.27243187013439424,0.44969344765764774,-0.23497944596536638,-0.23497944596536638,-0.12060006410339619,0.21528555414699468,0.2403242727480454,-0.2556064941347137,-0.2556064941347137,-0.26215331547005905,0.21840240985989437
